Wahlkreis;Partei;Jahr;Ergebnis
Charlottenburg-Wilmersdorf;Sonstige;2013;4,5
Tempelhof-Schoeneberg;CDU;2017;25
Tempelhof-Schoeneberg;CDU;2013;31,7
Tempelhof-Schoeneberg;SPD;2017;20,2
Tempelhof-Schoeneberg;SPD;2013;27,4
Tempelhof-Schoeneberg;Linke;2017;13,2
Tempelhof-Schoeneberg;Linke;2013;10,3
Tempelhof-Schoeneberg;Gruene;2017;15,6
Tempelhof-Schoeneberg;Gruene;2013;15,4
Tempelhof-Schoeneberg;AfD;2017;9,6
Tempelhof-Schoeneberg;AfD;2013;4,6
Tempelhof-Schoeneberg;FDP;2017;10,4
Tempelhof-Schoeneberg;FDP;2013;4,1
Tempelhof-Schoeneberg;Sonstige;2017;6
Tempelhof-Schoeneberg;Sonstige;2013;6,5
Neukoelln;CDU;2017;22,3
Neukoelln;CDU;2013;29
Neukoelln;SPD;2017;19,5
Neukoelln;SPD;2013;26,2
Neukoelln;Linke;2017;18,2
Neukoelln;Linke;2013;14,3
Neukoelln;Gruene;2017;13
Neukoelln;Gruene;2013;13,9
Neukoelln;AfD;2017;11,2
Neukoelln;AfD;2013;4,2
Neukoelln;FDP;2017;7,7
Neukoelln;FDP;2013;3
Neukoelln;Sonstige;2017;8,1
Neukoelln;Sonstige;2013;9,4
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;CDU;2017;13,9
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;CDU;2013;15,4
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;SPD;2017;15,9
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;SPD;2013;24
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;Linke;2017;28,5
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;Linke;2013;25,1
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;Gruene;2017;20,4
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;Gruene;2013;20,8
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;AfD;2017;6,3
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;AfD;2013;2,8
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;FDP;2017;5,9
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;FDP;2013;2,2
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;Sonstige;2017;9,1
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;Sonstige;2013;9,7
Treptow-Koepenick;CDU;2017;20,2
Treptow-Koepenick;CDU;2013;25,4
Treptow-Koepenick;SPD;2017;15,5
Treptow-Koepenick;SPD;2013;21,3
Treptow-Koepenick;Linke;2017;25,1
Treptow-Koepenick;Linke;2013;29,5
Treptow-Koepenick;Gruene;2017;7,8
Treptow-Koepenick;Gruene;2013;7,4
Treptow-Koepenick;AfD;2017;16,9
Treptow-Koepenick;AfD;2013;5,5
Treptow-Koepenick;FDP;2017;6,5
Treptow-Koepenick;FDP;2013;2
Treptow-Koepenick;Sonstige;2017;8
Treptow-Koepenick;Sonstige;2013;8,9
Marzahn-Hellersdorf;CDU;2017;20,9
Marzahn-Hellersdorf;CDU;2013;26
Marzahn-Hellersdorf;SPD;2017;14,5
Marzahn-Hellersdorf;SPD;2013;19,2
Marzahn-Hellersdorf;Linke;2017;26,1
Marzahn-Hellersdorf;Linke;2013;32,9
Marzahn-Hellersdorf;Gruene;2017;4,1
Marzahn-Hellersdorf;Gruene;2013;3,9
Marzahn-Hellersdorf;AfD;2017;21,6
Marzahn-Hellersdorf;AfD;2013;6,4
Marzahn-Hellersdorf;FDP;2017;5,3
Marzahn-Hellersdorf;FDP;2013;1,7
Marzahn-Hellersdorf;Sonstige;2017;7,5
Marzahn-Hellersdorf;Sonstige;2013;9,9
Lichtenberg;CDU;2017;18,5
Lichtenberg;CDU;2013;23,1
Lichtenberg;SPD;2017;14,9
Lichtenberg;SPD;2013;20,4
Lichtenberg;Linke;2017;29,3
Lichtenberg;Linke;2013;34,6
Lichtenberg;Gruene;2017;6,7
Lichtenberg;Gruene;2013;5,8
Lichtenberg;AfD;2017;16,7
Lichtenberg;AfD;2013;5,5
Lichtenberg;FDP;2017;5,3
Lichtenberg;FDP;2013;1,6
Lichtenberg;Sonstige;2017;8,6
Lichtenberg;Sonstige;2013;9
